date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-18,3602,85848385.75646881721705698497,564727.779440055361173969,565725.8493403826611706627738,4.14781879,2.4671444986483437,0.00009858635085500814,1.00176734691769,0.2580173282053001,-0.5154444576838911,85696929.552169293743705982,5872,7609,20660721.656672142,20697236.31940931254058658999,3153.38074745,3158.9538651943087458273905,193.08165627854754,193.422898548633911030889132,23994074.107327576832732216,24036479.96024398766389068193,0.004449870865748873,0.0017764426423921053,0.0021810851852504245
2019-09-19,2813,86197972.28981002313468324581,532400.6173575557402062,534284.7197126856825842621071,2.75078067,2.4832672406688863,0.00009773086373915208,1.00353888086096,0.31496663515658857,-0.30486428205420835,85894003.6442421859700508,5990,8141,31225318.843206346,31335821.52643794258497941565,4578.06197393,4594.2631898298296354747728,754.7494536449695,757.4204220412936992743329407,37270002.529803317031675767,37401896.62844396877231228757,0.004451480552185049,0.0018108585241803318,0.002191852424345317
2019-09-20,3466,86597255.81579147556501360715,578349.232145159180270116,579815.8297070340180375549796,5.13435119,2.520044599650279,0.0000985765487056911,1.00253583385325,0.37303672965261286,-0.31590240898640526,86378215.013975728490832723,5731,7146,16823589.169103295,16866250.99605147717440712146,2880.80725129,2888.1124998425092617331925,37.5,37.595093769496875,20586248.6177004250497347,20638451.92385661080474273157,0.004451214009260699,0.0018126309148312344,0.002183139510159074
2019-09-21,3807,86725810.5234203132219108129,181863.987507302077217173,182641.2667852887553372690282,7.85818452,2.5393942774404414,0.00010056410168097182,1.00427395928485,0.48336797963379213,-0.21122433628004722,86356725.395108646835991607,7856,9326,10989399.031461982,11036367.27548742053523868357,1469.12392531,1475.4029011511739524145535,37.5,37.660273473181875,13701049.727432979092801194,13759607.45612773283555096759,0.0044181323340128495,0.0018383137155464412,0.0021786729795372464
2019-09-22,4123,86562987.52269344827898360448,148359.609076549724835552,148541.5111127617724626403096,7.35148544,2.5522236340793167,0.0000996541003132331,1.00122608867295,0.1678783450445857,-0.561900405306239,86456983.594410917076628129,8341,9895,11760478.111930935,11774897.50093244992165620271,1525.5893683,1527.459876144045575797485,37.5,37.545978325235625,15095706.799370563285761522,15114215.47448744583159585534,0.004411649411831303,0.0019127574721707092,0.002203865538993376
2019-09-23,3381,86234311.99982785644399872141,222604.659199442783279011,223065.1309575954670916877291,4.86725994,2.553422839685541,0.00010338340393389555,1.0020685629843,0.34186777552056036,-0.4424112535880895,86056299.124892255840840633,7161,8861,17680645.816738505,17717219.34621352891279552047,2536.53332092,2541.780299856098664821556,37.5,37.57757111191125,22476221.756707928418576379,22522715.23706077275952938013,0.0044100297233362895,0.0019215798479166875,0.0021821704800896414
2019-09-24,3350,80968941.74846836418959386972,2646106.783394814660064166,2658530.533263532871188827075,1.08937227,2.402315060924266,0.00011663959260467641,1.00469510525678,0.46028377213215904,-0.3346092270818966,80590560.583824403168441275,10867,16239,73978898.7191319,74326237.43539889139244818928,5966.020219,5994.03131189228266683482,982.3092668793619,986.9213122820709000027820487,96882202.336350659083982474,97337074.47382848266112909777,0.004350187381954614,0.0019639607662805553,0.0021715722699072325
2019-09-25,3172,80667004.13455695149172756976,648740.983526363020767822,651271.6171678958962768838293,2.66436758,2.4421831987725167,0.00011916928438254723,1.00390083824792,0.31856946702206845,-0.5035762225737496,80353557.902534291356504743,7124,9444,30158585.719433054,30276229.48411059236706109475,3996.7865973,4012.377415327521870602616,375,376.46281434297,37745652.624941996241521981,37892892.31039407192703238683,0.004347658016207793,0.0019580672931026892,0.0020992574507846876
2019-09-26,3054,80214610.7699801313603046966,807916.984507374944574273,814400.703628472730807935236,2.19253962,2.4473329272741107,0.00012457528269449063,1.00802522938053,0.9623080353969511,0.04368092131235532,79575995.155671920115916921,7100,9358,36293982.7914792,36585250.32851382910037837998,5021.26766334,5061.5644881193413887907702,674.4215166039813,679.8339039738931719575307041,46989022.793547180254496859,47366120.47983234894197198308,0.004349323978304515,0.0020920265537839105,0.0021516706209695675
2019-09-27,3194,80085175.55866646215875467724,608760.677317065208683192,612871.4705455692952614756456,4.85605062,2.469203383514991,0.00012297298437287865,1.0067527246448,0.7965111826683249,-0.43446793048090737,79548009.752764180720679464,6114,7643,16381215.100178715,16491832.93509746170966489543,2631.63523131,2649.405939392590985588688,180.574,181.7933665000101152,20113588.072924393468208531,20249409.59479978535958839489,0.004309972741476812,0.001995219343773778,0.0020662630801727777
2019-09-28,2782,80234168.3669922951941725073,225195.561593369911290338,226909.9371767390738145796863,7.80651413,2.5177886675357994,0.0001228499644534786,1.00761283024958,1.1583409783723435,-0.37782405413113956,79627974.116922216456961014,4717,6072,10200195.994048025,10277848.35466315854235525608,2057.70360927,2073.3685575513206009016066,150.33635145922764,151.4808365832279385518152344,12494376.31551684129573385,12589493.88148124381148194478,0.004305533080671101,0.0020021396662137964,0.0019893627679771226
2019-09-29,2019,80141989.57745164595573558643,135777.37910461254086546,136712.5072043818612745520466,5.75473186,2.578576669267869,0.0001248541396367636,1.00688721571985,0.8383773539517893,-0.2290742848365381,79593809.83912487352721183,3922,5458,13831019.708018681,13926276.92437330241688066252,2937.75955819,2957.9925420003057588130715,183.72059999999996,184.9859234043802336345113712,16034291.668584119402817569,16144723.29422065183636072356,0.004171256512623445,0.0019667479795267024,0.001990852460996009
2019-09-30,2534,80801863.78666187815955448376,684875.199701078326247908,690991.7355098174697841819,4.84886746,2.6596160074113357,0.00012181675417041835,1.00893087647415,1.1506822625981574,-0.21058469239694988,80086620.075535092704150249,5365,7304,16516562.000088062,16664069.3750884883431440666,2855.70240243,2881.2063278330357227921845,141.91027978423548,143.1776629634005529863757328,20858050.347349688637305368,21044331.01849347020735960608,0.004128917716372315,0.001973262057595683,0.0020013853367965876
2019-10-01,2539,80894446.9578306906905527894,563797.398548498429730294,567143.1250585322160716410086,3.37557033,2.682323540661645,0.00012098479205028662,1.00593427092542,1.034962942802452,-0.47961629046062565,80417229.331903543083607851,5900,7972,23823301.397681735,23964675.3225135153690010812,3606.92421424,3628.3286797347578111419808,451.0052428474029,453.6816301472442294432265917,28754399.835958917190555703,28925036.23488334981026520314,0.0040347961705916565,0.0020432301430957224,0.0020415092608173546
2019-10-02,4601,81154443.09930623535781935555,433144.16184082671184352,435102.4601256514247005734687,6.7637351,2.7137874630600995,0.0001201216660048105,1.00452112358274,1.1003678516866204,-0.9775767433563688,80789185.208828252354457239,7647,9502,11944463.235896993,11998465.6303159778267697527,1720.65119614,1728.4304728405383432586236,107.8307282571152,108.3182443055824720289209116,16349627.665705999907915419,16423546.35291444164125060767,0.003969089094962665,0.001925902894146774,0.00205054052468682
2019-10-03,2305,81206052.78751167119825174838,263706.996559281227818911,264934.0251364648140371364666,6.12367798,2.7422400004320266,0.0001217120945616709,1.00465299970495,1.13416744157528,-0.7222977963978876,80829951.049128951245153546,6891,8525,13199575.688807596,13260993.3105930829372053188,2103.47627663,2113.2637511245287145803185,250,251.1632499262375,17932135.258253507057812692,18015573.4783192841182049972,0.003963430953048041,0.0018852991850923028,0.0020266031497036714
2019-10-04,2160,81796532.80408265488149846232,766009.063175189771209055,769680.0112069442817442741556,5.25639116,2.778980862896609,0.0001230505661178843,1.00479230365309,1.1095371211686194,-0.7857668735726948,81406408.574884299750977765,6885,8447,15487129.108268352,15561348.13366978289741363401,2416.39076579,2427.9708440841883595997911,215.3532281084386,216.3852661702073943734359653,20411252.798668336693493845,20509069.72001953844971738965,0.003839029819022768,0.001876967739162361,0.002007612845378308
2019-10-05,2092,81654453.67608996256437540767,215425.28630248795446707,216704.9601440088736563886996,6.22144004,2.7905437403981246,0.00012355508200324108,1.00594022114806,1.1374695051830501,-0.608990621950166,81172272.426784290901582039,6066,7372,13047183.920736445,13124687.07858503201735858305,2093.15324461,2105.5870377797627282069566,250,251.485055287015,15430725.719278017746111625,15522387.64252558638196175325,0.0038394538157627616,0.0018927626350020788,0.0019971597298182667
2019-10-06,2215,81462738.61683162587908474201,271747.645523880977365974,272391.9414304213490023757757,5.75400999,2.8011284723539074,0.00012761562426510148,1.00237093464158,0.7941813578783019,-0.8898696710222783,81270052.633719310849792764,7177,8564,14124072.213413792,14157559.46550475226620374867,2005.62458247,2010.3797872705825466011026,250,250.592733660395,17176168.924236363151110735,17216892.49814846502695361645,0.003814195792248851,0.0019877573793638044,0.0019924621570497282
2019-10-07,2818,82246233.47321191639361480917,654371.702932130459429054,658503.7376736408773755587391,3.81369289,2.843141470187688,0.0001223330465463144,1.00631450706532,1.2677288146858452,-0.4166964882395565,81730147.876992995723840466,9251,11286,21430710.38992338,21566034.76209537791514345518,2324.5941841,2339.272850499501230805412,250,251.57862676633,26235369.961790512549344453,26401033.39077552283927503267,0.003805771112698869,0.0021284962554531215,0.0020481074745152586
2019-10-08,3055,82286679.78876543518819461717,422928.029134686224984283,424404.2975042082440531071741,2.88420912,2.878917142431256,0.0001225246013338515,1.00349059004801,1.3553462577167963,-0.8653098491869377,82000449.834640296519007255,8687,10567,28430826.797788132,28530067.15886518727023968822,3343.7977932,3355.469620499501720051532,250,250.8726475120025,35333911.28074599990795666,35457247.47981984016836398989,0.0038066114835315396,0.0021530894774415793,0.002078402445336344
2019-10-09,9726,85055808.3004956924861634373,2790652.014234596604286471,2810640.669029728874411149751,1.98629951,3.0170203238002906,0.0001171346637671149,1.00716271849488,1.6495884967883592,-0.31509585779846233,84450910.204067567604676248,15067,18732,42516704.887459144,42821240.07589790249969917318,3053.84542025,3075.71925532212926107332,10,10.0716271849488,57204632.412100203099946593,57614373.09067116513059438477,0.0037991145147419966,0.002247015269486931,0.001994181101451401
2019-10-10,7834,86064130.64078059977981915136,1236866.553160485008145064,1245839.811943773658356691044,3.32005082,3.0672665880909715,0.00011742180220135092,1.00725483178469,2.232475098339646,-0.430726248096759,85444247.001812943997651129,11944,15175,25735825.01364445,25922534.09495865770879461347,2204.03708346,2220.0270017477210542802274,6.44,6.4867211166934036,33446262.741547969698187012,33688909.75156444480740575612,0.003336428278966972,0.002232787039758069,0.001978970934741109
2019-10-11,6079,85020771.50683422226249900846,249746.838503144150830614,250906.4033382209589421244364,2.71731828,3.0330084339604495,0.00012118946335002817,1.00464296101615,2.178341834002794,-0.6459846764607466,84627847.7090404682803506,10005,12694,31143884.917550303,31288484.76111395101378562039,3177.8851463,3192.639943148073039412745,14.01754884,14.082631772806098653766,40340074.047188441758667114,40527371.43837814204926547016,0.003336639253289972,0.002276949770829181,0.0020106779685765594
2019-10-12,4811,84954814.19283956812148496502,109556.351521925203280245,110005.0001029267900127999986,5.29765919,3.146580280004976,0.00012063013935685973,1.00409513985058,2.066198620135502,-0.6065354649681504,84608331.243871716156244195,7550,9379,15970889.815776853,16036292.84311066306552104262,2235.85824434,2245.0143965366445687307172,11.61115822,11.6587075367381115387676,20970114.473663079964988338,21055990.02511540208562142293,0.0033370263852711495,0.002273734012391784,0.001951288574906192
2019-10-13,4673,85092949.10720817834940647757,185203.667588379932565531,185961.4411187579951593767426,4.33526209,3.2862884284583185,0.00012110254663833037,1.00409156870512,2.611366997798608,-0.7676531102211367,84746204.190265578299096336,7410,9447,19548115.510947883,19628097.96861654821683011526,2822.35394095,2833.901796009563120442664,10.107902253252936,10.14925942978675764565735823,26662777.68015084181036518,26771870.26689851902771749382,0.0033284808096128056,0.002248064328619529,0.0019185257585497427
