date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-01-17,11181,10182392957.3891,0,0,40.605085,83.33195025971197,0.0009124328039582696,10.1823929573891,,13.553961176757193,1000000000,13792,13721,24627457.37539626,250766448.5376351265729075048,1941.0415782,19764.44809586310401547762,142.3,1448.95451783646893,26633031.494524051757562529,271187992.3237638012378274753,0.09552550641088167,0.11468467333269747,0.11046057237487139
2018-01-18,12102,10405801472.7158,0,0,36.5042591,83.04968041714619,0.000925285853712845,10.4058014727158,,-10.171317399291658,1000000000,14278,14150,27394063.725483157,285057188.6583031098365079478,2080.78245986,21652.209185212392998687788,199.5,2075.9573938068021,29443071.807077996951839391,306378759.9713692714997682782,0.09515186668031736,0.10446499935268024,0.11020642319054907
2018-01-19,7517,11064519215.022,0,0,60.34942656,86.92535333069395,0.0009671566474531374,11.064519215022,,5.199668059837144,1000000000,9315,9244,16570165.734132353,183340917.1614065447678138068,1955.19294616,21633.26992186279470921552,140.42929,1553.78257755689679438,18073803.594266838627533537,199977947.1572991235107229186,0.09509920728206245,0.10359297967051058,0.11022632903243872
2018-01-20,10783,15569395577.9071,0,0,35.97313955,117.8999566175976,0.0012193689096787158,15.5693955779071,,46.12645769384891,1000000000,14462,14363,27798518.90606018,432806137.3283802814875110493,2083.13326712,32433.125877289297714844552,168.57720836,2624.645242376107809423356,29920043.115669441721031061,465836986.9758935764357040196,0.09822666681373386,0.12077360106905195,0.1168840188035564
2018-01-21,9158,13218917166.724,0,0,29.53771198,96.50238730565786,0.0011572807650558263,13.218917166724,,60.832770011325344,1000000000,11484,11378,33855025.75796829,447526781.171890228613435182,3226.87207949,42655.75472639273291089076,192.428,2543.689792558365872,36715350.52043137605375624,485337177.276819264418792016,0.09862557551467885,0.11442323037893111,0.11963089955711127
2018-01-22,9306,13572127092.3409,0,0,58.07466659,97.26911400393088,0.0012640107999134216,13.5721270923409,,53.11898649532672,1000000000,11747,11674,17219212.070119046,233701334.6456261372764978148,1806.66417868,24520.275846224648617072012,143.349984055,1945.5642022795015276243495,21090997.621863865238719145,286249700.2281960580315505469,0.09863089997845201,0.11388989292103513,0.11957114800233627
2018-01-23,8606,12989608121.0022,0,0,53.18576473,91.34371845094743,0.001197266009514623,12.9896081210022,,56.87335793697882,1000000000,10782,10716,18802023.531706445,244230917.5587285034118095992,1989.20404436,25838.981008949076496457592,154.1225,2001.9908776291615695,21316310.53932918877116844,276890520.4914752162374981031,0.09831796115513132,0.11337102057630599,0.11982255709064951
2018-01-24,8124,13663014004.6833,0,0,64.03802044,94.56466808678599,0.0012170978416327306,13.6630140046833,,63.0547848239044,1000000000,9872,9808,15615723.177798871,213357844.4715235800157794526,1856.97618464,25371.891617099681525524512,146.97725,2008.152225119838554925,18213222.418962602358661173,248847512.9806978860575481836,0.09823425435160563,0.1135538508552216,0.11969303721986052
2018-01-25,8244,14267227923.2325,0,0,66.37308956,97.16201530586227,0.0012818177848506007,14.2672279232325,,65.92016243920533,1000000000,10445,10367,15066347.018805854,214955006.8878176119865336031,1734.62122139,24748.236326047072306943175,121.14,1728.33199062038505,17982818.202175397896555235,256564965.9924905014453740943,0.09826260510482622,0.11364889926658737,0.11795500686734889
2018-01-26,7568,14181686140.8307,0,0,76.82216201,95.27941195540154,0.001285090477295765,14.1816861408307,,62.73939562824159,1000000000,9459,9400,13017077.02301067,184604100.8113561656941287636,1752.16762653,24848.691345572722941558471,124.20732197,1761.469256571645518160479,16470375.689375445789895728,233577698.6482906459000497806,0.09822596700401721,0.11372458219334249,0.11698366216452562
2018-01-27,7620,14115736380.9988,0,0,68.26477621,93.4716275337746,0.0012468663153413209,14.1157363809988,,73.17741446447035,1000000000,9086,9036,14648843.158330088,206779208.3095853877767415319,1930.85149973,27255.390761044855655330324,132.897127205,1875.940813417843868552354,17447174.151594376339656897,246279710.9172826106437185608,0.09816278802378077,0.11272087146758236,0.11678725714967131
2018-01-28,8839,14256915476.7756,0,0,54.73729316,92.69114444268651,0.0012273559015779753,14.2569154767756,,70.93179732858911,1000000000,10867,10807,18269080.223568738,260460732.5858521793633892012,2004.2648075,28574.633953603418654697,125.07831,1783.230893647936297236,21660089.774627201615173188,308806069.136231468467135678,0.09814929976058309,0.11272729769055487,0.11668584603080821
