date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-08-22,21415,153,109001031,712425.03921569,2.46062601,2431071703.595428442789587387,987989111.7549950321171146907,128765628356.48203,0.000007016304258889733,0.0009497770263550776550164662129,0.00000337,0.00045618725481598504,0.84036381,113.75764377762671724552,979349.038008298,1912.5,3.886885,258889.6512865197,1912.5,258889.6512865197,232.14620861,42.376665623600225,0.01337657673991961,135.367137927592,,-20.29807530875971,17959098.05595366,119773,130046,77361.15167839,10472157.68948598447709113688,1.67869179,227.23970307484630486968,0.007,0.947569965493144,218307.15249602,29551614.42250859949282818384,0.07561085999407481,0.030436014867979286,0.058357991922716713
2019-08-23,20245,144,94920066,659167.125,2.47372533,2444851203.706238189343982652,988327673.1352975097107139737,124345526708.63023,0.000006875713571693252,0.0009359273990496596027761120593,0.00000337,0.0004587269818484618,0.79787843,108.6078231679196435902,890099.9510291022,1800,3.65803,245017.379028852,1800,245017.379028852,232.37880887,42.75387228603167,0.013070758755714297,136.12076612714,,-18.624291263005656,17960898.05594166,116043,126147,77291.46277765,10520973.128381042257450421,1.55535524,211.7161468686617052136,0.007,0.95284536288998,196203.39716108,26707356.7383137349023397112,0.07514817770308063,0.030491920930140772,0.05838828053346861
2019-08-24,21924,143,80408567,562297.67132867,2.42086946,2393323109.844445993895185274,988621296.9426831930725000415,125815742087.694,0.0000072542717950029405,0.0009665490317693827946242821882,0.00000337,0.00044901408840327297,0.85099137,113.38490036783453330097,894369.828184863,1787.5,3.632115,238164.0008963947875,1787.5,238164.0008963947875,490.55991173,42.23940298458179,0.013130724104996026,133.238601900081,,-17.39592786304019,17962685.55594166,117309,128397,36616.70088895,4878758.03263715111177700495,1.20497632,160.54936019950461108192,0.00753468,1.00391022896450230908,154715.34419646,20614056.15322614127215391326,0.07478138961996013,0.030112201283387097,0.05837359611607252
2019-08-25,22507,138,69265280,501922.31884058,2.41310966,2385881505.560232107627718419,988716567.7482090367393841606,126641254567.82237,0.0000064989326814398735,0.0008631334294127405329443906223,0.00000337,0.00044757497880043962,0.75899735,100.8036269542551484911,868761.1856905401,1725,3.50473,229099.95205660485,1725,229099.95205660485,264.04504106,42.6826501837673,0.013149195550594284,132.811566409626,,-18.299203413565923,17964410.55594166,116788,126750,68035.40215646,9035888.33170829926010208396,1.33849659,177.76782875184294417534,0.00863586,1.14694209389423278836,169654.44294337,22532072.31566148986254087962,0.07454783669662902,0.030000676205481417,0.057666605035414126
2019-08-26,20929,143,99911034,698678.55944056,2.38682622,2365936452.391193739648184848,991247890.0648058776275246545,122922188365.605,0.00000853380191855879,0.001123801094351562179383080146,0.00000337,0.00044378926580526468,1.00614378,132.49727282514354570792,873800.8031779234,1787.5,3.631385,235392.67437000315,1787.5,235392.67437000315,80.73922822,42.55579947288515,0.012707974542313661,131.688209437764,,-12.107339414675554,17966198.05594166,117901,128733,222521.30039863,29303431.61125838530137586332,2.70970384,356.83604679623335181376,0.007,0.921817466064348,348828.30411481,45936574.77009113299780568484,0.07423911294052218,0.02647695901489959,0.05617268620790537
2019-08-27,18490,155,75312136,485884.7483871,2.43250022,2412674093.226014590143579415,991849485.9430403757754947193,125946905751.47041,0.000006007176779661017,0.0008066145619056388495363635487,0.00000337,0.00045250725479322338,0.70884686,95.18051830486538343964,970432.469808087,1937.5,3.935795,260158.102718655875,1937.5,260158.102718655875,142.65060459,44.87317074102228,0.013205372133568913,134.275149790274,,-8.626648672855461,17968135.55594166,118000,126645,125959.05644955,16913171.1722049046095616767,2.43754162,327.30126614552714620388,0.01259748,1.69152851397998090952,308702.45786873,41451068.77094946938052273202,0.07424118506129125,0.02666293346699236,0.05532583959610952
2019-08-28,23296,132,95384496,722609.81818182,2.27162694,2249935290.012455157291094806,990451052.872912800302245663,129491956714.71536,0.0000080057926109297,0.001002377867213662806722436497,0.00000338,0.00042319822106767426,0.98313535,123.09500922743944002695,849694.5709767014,1650,3.35143,206590.84756262205,1650,206590.84756262205,277.00020458,43.954861530330234,0.012874976818295285,125.206574280377,,-14.117832829478255,17969785.55594166,122803,138376,64872.82413031,8122504.07324949246912392687,2.33696424,292.60328670614478271848,0.00756773,0.94752954837883743421,323379.76345362,40489272.37362641603571561474,0.07444415170942602,0.02932700748734159,0.0558326228232879
2019-08-29,24922,153,64238583,419860.01960784,2.32052666,2297243143.754609564278785871,989966279.5527772709183329349,128122264458.9159,0.000006237180513792653,0.0007972713611740716811139641822,0.00000337,0.0004307722826387867,0.7633311,97.573258265927582901,974455.8237071474,1912.5,3.88433,244466.466037590375,1912.5,244466.466037590375,188.5032258,46.04305943221133,0.013480426158714524,127.82560315691,,-12.529727737436067,17971698.05594166,122384,135478,95338.94170712,12186757.7280540967366241992,1.80427265,230.6322397457663715115,0.008,1.02260482525528,244439.24985297,31245594.5476785142853395227,0.07445291267475528,0.029676272216987945,0.054848507108848275
2019-08-30,31214,148,83895397,566860.79054054,2.36002802,2344328861.845570156212276703,993347892.0039016436256687569,129688767014.96997,0.00000716686400822037,0.0009347896192281878852015674766,0.00000337,0.00043955641033312155,0.9067158,118.264908676654175877,954135.8092847593,1850,3.756945,241299.51309088275,1850,241299.51309088275,106.54430627,47.57060812070918,0.01361834862517539,130.432169238315,,-11.807137042205012,17973548.05594166,126515,139926,168695.52850695,22003323.72396549495068378925,3.22618605,420.79844486789097850575,0.00770119,1.00448291741641909485,451427.30889462,58880643.1525401781500013653,0.07443437617308385,0.029870632954786057,0.05493011642633129
2019-08-31,26977,139,68255039,491043.44604317,2.33300394,2318282630.668442761981033643,993689977.2551422436497484688,128626373125.19345,0.000006016458905902368,0.0007759460697453852071858319485,0.00000337,0.0004346307846425407,0.7355482,94.864062702791826502,888773.1848453251,1737.5,3.52809,224086.346681428625,1737.5,224086.346681428625,207.86857152,47.692083388898425,0.013427405599960501,128.97055924111,,-11.490999823589366,17975285.55594166,122256,132410,86474.28240125,11152636.5612628890285153875,1.44028279,185.7540768916461934969,0.007,0.90279391468777,190707.84450603,24595697.3576093363596188933,0.07439906790939815,0.029833724086354818,0.05493188285583769
