date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-17,3571,4320,3706098,857.89305556,974704432.4782852798301471629,0.17776450213805503,0.005728986233919454875427864337,0.171246,0.0055189082455385717346,291.00049,9.378350464926273832199,0,0,0,0,0,47.06305133,34.40778991492128,0.00000921020662276928,0.0322279542035351,-93.29278584064537,-46.19173257634397,30244067815.243745,1637,3704,642628706.865217,20710608.53472919579070062862,16181256.77585909,521488.8023280287790020174691,193981.219666,6251.6178637417303068412766,59935375097.782078,1931594523.823018875872997024,0.05746589980535097,0.07372615521490601,0.0579845221920154
2018-12-18,3563,4320,3671174,849.8087963,1039455631.41061593191616586,0.17921838135048043,0.006158203114889912931161364179,0.171246,0.0058842605466351125178,278.684583,9.5760058436539153333869,0,0,0,0,0,70.95955692,36.74101471864714,0.000009389586296097018,0.0343614481309643,-93.40145854227138,-43.73140818202839,30250635172.559162,1555,3591,426308118.139542,14648564.28926087345327842035,13167567.71561107,452456.6950709298586069628548,252860.224312,8688.6434820807860508640616,47284735666.759337,1624771991.999708594122145839,0.057713023705472294,0.07500444340635941,0.05874820443600146
2018-12-19,4770,4320,3854853,892.32708333,1041513940.494842240591522182,0.18283341585677523,0.006294861333222167101033415123,0.171246,0.0058959125103991052742,357.439328,12.3064539064494890450656,0,0,0,0,0,42.11557637,37.30728130366561,0.000009310991909963987,0.0344294903845877,-93.49168326309714,-33.02108402439566,30250634815.119834,1955,4603,718276643.043251,24729898.77513154198371490261,8622138.0718123,296855.8198380491148477272887,190820.087821,6569.8383788192999788764017,39687701544.552031,1366427338.714540561099903133,0.05696067640791794,0.06926742153284943,0.058732680887405
2018-12-20,4120,4320,3846460,890.38425926,1177528100.667463585023522944,0.17953726181422858,0.00698788297530052423107400378,0.171246,0.0066651735461272230312,330.528099,12.8646925575284668877028,0,0,0,0,0,80.84075159,42.71228386044508,0.000009568372729942748,0.0389216305556172,-91.85096390693313,-10.363073443443422,30253822459.591735,1841,4255,374239747.455051,14566021.18967297726281256248,6755217.78685896,262924.0910228584954295721501,315999.344298,12299.2097345840366206907256,28743451683.084875,1118742007.30226290583715561,0.057783238497192156,0.0671229075875951,0.06128966983834108
2018-12-21,5601,4320,4129560,955.91666667,1221076245.721058157060272552,0.18181127912720993,0.007337759199339636701775305998,0.171661,0.0069281019745563640672,441.619597,17.8234170951962632930144,0,0,0,0,0,31.64287931,44.121471771902456,0.000010512715057334577,0.0403592078256352,-91.52872367669762,-14.467111923595438,30255208451.972138,2429,5880,956145872.679555,38589289.98709749373184392834,2535932.4873515,102348.2262887991966414531728,271281.140392,10948.6919242560477477769984,14911283025.626793,601807570.5781381865531333639,0.05777320637790698,0.06556069219582851,0.061573565865181396
2018-12-22,3763,4320,3812095,882.42939815,1261604178.757705364703632747,0.1816113082191756,0.007572537441851321964034650359,0.171246,0.0071403414219244699548,291.667761,12.1614951316133892927618,0,0,0,0,0,82.42487087,45.998206685034745,0.000010516258498594233,0.0416963982920738,-90.21040307138087,-4.612771015008182,30256910199.304377,1606,3586,367084714.595321,15306110.46669874086752886669,1664732.80420929,69413.3620541914672474833256,266714.896389,11121.0505502649401269415082,5969731835.894499,248916316.326329978605284722,0.05777626300960114,0.06448887940115748,0.06181715816509992
2018-12-23,3912,4320,3775444,873.94537037,1328334957.522362070798588083,0.17957411137300933,0.007883539057346040766618853265,0.171246,0.0075179240431268195826,304.737267,13.3783657803163702159677,0,0,0,0,0,69.05164445,49.437196483038356,0.000011134927667205469,0.0439013118153231,-89.68997781671403,3.0750931735282405,30257295342.56711,1697,3879,438183559.347932,19236833.07128169791544189683,1404595.89847098,61663.60251329839964342467364,287339.312028,12614.5727341416473425362468,5448427490.168945,239193114.1490850883966587611,0.05776185307397318,0.06502772615501212,0.062315477716179964
2018-12-24,4542,4320,3868206,895.41805556,1383558725.367363323027537945,0.18121392269573552,0.008285936687327887037442772786,0.171246,0.007830157268548234416,365.689696,16.721020235027937615616,0,0,0,0,0,53.27608597,51.866470778521524,0.000011317845513444081,0.045724614113896,-88.4048352692485,21.223689602100738,30258510698.877414,2018,4666,567956713.6027,25969601.5628800047102931192,1013721.01280807,46352.00212979682530976794072,307309.710395,14051.61792126450930514892,4730022245.762459,216278441.9376321871691870303,0.05785629379593577,0.06111664608318636,0.06263834732126829
2018-12-25,3174,4320,3614046,836.58472222,1241956013.677930676067836103,0.1788343243986241,0.007340227969550972460011146722,0.171661,0.007045799947623386999,260.203942,10.680031695696744330578,0,0,0,0,0,65.94938266,47.10072057356603,0.000010911586608481606,0.041044849719059,-90.25951163586366,10.95247034223564,30258510438.673472,1455,3376,458814157.415191,18831958.14008319411796882527,933245.53726422,38304.92282799238578245276898,378458.416933,15533.768847927958938426047,3150636933.804008,129317419.4673023469389681885,0.05813051537115257,0.06445444489347114,0.06395067693517804
2018-12-26,3631,4320,3503033,810.88726852,1235801296.018574983573464413,0.1765005087402028,0.007208337839738246360776087799,0.172081,0.0070278436739568342012,292.814344,11.9586324761258958917088,0,0,0,0,0,60.39854158,47.11731671743981,0.000010725839653212312,0.0408403233009852,-90.39822008285937,16.90410746119274,30259341653.859128,1659,3699,500994574.723494,20460780.40374708292062778629,702626.44749831,28695.49127565368417969833501,162026.761544,6617.2253248685959406731488,2599015229.296235,106144622.2286424186766781507,0.05790493298112481,0.06345552583679212,0.06395282762142063
2018-12-27,3698,4320,4374866,1012.70046296,1095672478.325688881059072923,0.19423645704266243,0.007031927443980364489621333567,0.171246,0.0061996057043368086816,332.338578,12.0316278566505695333088,0,0,0,0,0,79.41479611,43.06282321455506,0.000010097147174930207,0.0362029227213296,-91.15310711943701,0.421347257681194,30264752013.52055,1711,3847,381097144.31116,13796830.46481631987663131834,498863.09911468,18060.30222577174883411247853,195724.312732,7085.7921685219431172484672,1919126342.294193,69477982.66254460706847931901,0.0581486262368084,0.06724183795970437,0.06550984382457042
2018-12-28,3641,4320,3688605,853.84375,1252514098.817435004631079304,0.17854690662460423,0.007388631508239629007090002117,0.171661,0.0071036787884688135405,282.996847,11.7109809405599069665935,0,0,0,0,0,69.8504655,49.67246159413481,0.000010662569938527165,0.0413820191451105,-89.84141699383264,-0.2070540998564732,30267109355.523703,1585,3605,433312922.695141,17931363.66279411093843225808,500236.87924382,20700.81211395808853809034211,253089.823293,10473.3679129435593699588765,1803353949.673983,74626427.67081940162584351012,0.05894037731829288,0.06679998054737478,0.06796287197051287
2018-12-29,3146,4320,3498985,809.95023148,1275775169.017241003648271383,0.18190359201141096,0.007667036094178774751365804068,0.171661,0.0072353221198636950572,255.028836,10.7491846040387195058672,0,0,0,0,0,68.53714039,50.722053388786144,0.00001102468580045993,0.0421488988172252,-92.2858147817558,1.4758101651951923,30268291813.494867,1402,3296,441633421.564421,18614362.39982374242272626461,467898.51562495,19721.40719180588181640288874,249630.148148,10521.6358560189886502789296,1542193507.499828,65001758.10419188299479243727,0.05865627948845586,0.0668844482571328,0.06804060899167821
2018-12-30,3116,4320,3547341,821.14375,1298996399.308543401066535457,0.17801920131290877,0.00763885666644532024277322259,0.171246,0.0073482165915505591722,244.064325,10.4728724896966231487775,0,0,0,0,0,44.15485272,51.42178584230401,0.000011217183180053831,0.0429102962495507,-93.61328370111977,11.72476786057493,30272370802.430542,1371,3163,685595555.969071,29419108.4140082543639868464,754834.48936741,32390.17155813389105913972269,373155.102722,16012.1960048325428048470054,2387541489.869109,102450112.6383771185221430593,0.05864814547499304,0.0652626290567173,0.06809762453067879
2018-12-31,3012,4320,3371851,780.52106481,1226216441.470643093262538411,0.1791343538205964,0.0072558293717820123194302245,0.171642,0.0069523518993943792476,215.677762,8.7360185636256211853836,0,0,0,0,0,100.55917194,48.71381157865294,0.000010985289126143934,0.0405049574078278,-94.43318218586595,-1.1262632771132743,30273243571.75278,1204,2854,301049053.87527,12193979.10488466804742283851,451657.13829832,18294.3531497148418387395893,371683.826987,15055.0375812868720146888386,1289029472.703417,52212083.88928663332586360759,0.0587494862213356,0.06514948439948677,0.06835291302241606
2019-01-01,3290,4320,3585225,829.91319444,1273574911.40875275629539893,0.1762647514871114,0.007415246578528834175297856581,0.171246,0.007204113725934590373,266.688569,11.2192680733141451139095,0,0,0,0,0,102.18294111,50.81205069331076,0.000011047137159643838,0.0420688000066255,-94.29463129929717,2.022617213659841,30273621097.064211,1513,3398,296268836.742326,12463674.44110849320663628091,319483.29083371,13440.2786675419157914187456,74562.889008,3136.771265593766821122504,1085604222.252949,45670066.9123075316657369136,0.05882577344408492,0.06551454305710837,0.06848503862863128
2019-01-02,4374,4320,3842440,889.4537037,1363051067.797852564943745162,0.17954704964147586,0.008083994959856089452539075192,0.171246,0.0077102453293430606088,325.518801,14.6562828622192822433628,0,0,0,0,0,89.53409439,55.29648311445073,0.000011550051579764092,0.0450243820547228,-94.3047028246395,17.734108141397808,30273620771.54541,1813,4188,338123940.139596,15223821.46269339238114308399,269142.67006642,12117.98240429869995795068838,227549.742008,10245.2865206217980779553824,1127169502.238186,50750110.30920381268813180484,0.05908566017852112,0.06500184517497598,0.06919322863398557
2019-01-03,3494,4320,3491015,808.10532407,1278608431.10615215261178694,0.17891842616318082,0.007556631957038786449103528789,0.171246,0.0072325865136710101968,265.336026,11.2064851922886404180208,0,0,0,0,0,93.5624916,52.04767395201869,0.000011160341186090766,0.0422350683442008,-95.9098213867394,14.165141148070665,30273620506.209384,1483,3416,323565779.277017,13665822.80160940391192867301,267913.61467415,11315.34982610460359393416932,194007.065858,8193.9016857704956179762864,915192907.726891,38653235.00597309780751006371,0.05922947214583238,0.06586955388426664,0.06872786943558123
2019-01-04,3216,4320,3543239,820.19421296,1317778677.708092788600531782,0.17806730277777613,0.007746989325129350277426069012,0.171246,0.0074502219850362864174,256.416916,11.1556646281863676304404,0,0,0,0,0,94.43582072,53.70143106369656,0.000011366605497310737,0.0435059620956769,-96.25143687125268,28.04187399156559,30289611221.792468,1440,3132,320742817.629901,13954224.86626708145785627499,258745.58340486,11256.97554403564508418844973,182379.998144,7934.6172862624873724236736,810391167.224033,35256847.40392013985212308294,0.059292026589253276,0.06379288982639693,0.068917121981358
2019-01-05,3478,4320,3480528,805.67777778,1342730046.238263066806761496,0.17969873259820607,0.007965994936046723756661837599,0.171246,0.0075912876462428399736,260.742861,11.5586586522039288245076,0,0,0,0,0,97.17820086,54.829523192909214,0.000011669973034721207,0.0443297224241316,-95.379270771045,44.80071604448471,30289610961.049607,1451,3154,311691415.275998,13817193.92116972327982947334,244510.9864361,10839.10415836291965892139076,137495.454973,6095.1353535327748164264468,771187651.219462,34186534.5154767638615163692,0.059275099403625235,0.06016365207627641,0.06847133679323783
2019-01-06,4602,4320,3906620,904.31018519,1483186588.030688041300966235,0.18268275594563774,0.008945397704758378663358248764,0.172081,0.0084262631930656732007,322.617747,15.7975723466034804019509,0,0,0,0,0,54.93522834,61.08677358166523,0.00001210255008832818,0.0489668423188247,-95.14162422698833,66.70027582460783,30289610638.43186,1766,3998,551369522.901554,26998824.48732599900069908358,309581.58040091,15159.23243230391112306601048,154025.201018,7542.1277313736836630035446,1237707158.442847,60606611.26435146855756716192,0.05951349468395697,0.061313568134886955,0.06986503667841039
2019-01-07,4059,4320,3828026,886.11712963,1447796268.756150985226009779,0.18101168687430186,0.008651515732016074071756969347,0.171246,0.0081847613744058078504,325.459013,15.5554252861651523799612,0,0,0,0,0,54.15870878,59.63143903430672,0.000011945794812243712,0.0477953433914124,-95.19039089792976,58.5610633634737,30291575831.972847,1798,4130,559311263.427162,26732473.89818592727162370361,411406.22446515,19663.30177167633348929307786,323645.10611,15468.728983477553460769764,1699107707.041077,81209436.31702361577585584715,0.05949664901852001,0.061745210058344144,0.06984993467799668
2019-01-08,3654,4320,3639032,842.36851852,1462840031.485082716643173555,0.1814803333333312,0.008764043861427053913985007986,0.171246,0.0082698076839948952236,307.609165,14.855054345119031007989,0,0,0,0,0,56.88448966,60.43934112580347,0.000012095301340981145,0.0482919757775066,-94.53054525909572,55.209822281897814,30291575524.363682,1695,3808,532510280.155048,25715973.55052083152819884332,466757.95940178,22540.66406938916875291600175,259466.683642,12530.1588015094319617670372,1777414309.401994,85834848.77623471569264238816,0.05939803476558094,0.06167348714453118,0.06980370241258407
2019-01-09,4322,4320,3874348,896.83981481,1574940228.015349799075985186,0.18141427258566745,0.009431685999428496336005867021,0.171246,0.0089030398636106845518,349.403889,18.1654272348995174447937,0,0,0,0,0,56.59279596,64.97455428601404,0.000012983617654291505,0.0519897683076433,-93.38889798105814,75.61399450407669,30293272681.959793,1926,4413,535284962.834679,27829341.196340415971310002,363654.54168564,18906.31536625863579567785221,214500.185249,11151.8149330420770726136817,1604807492.458712,83433569.71129845930353927343,0.059189706150162925,0.06134904565826157,0.07053668101993056
2019-01-10,5475,4319,4076720,943.90368141,1328190456.624152228373636358,0.18102978602970402,0.007937033848428423281936756032,0.171246,0.0075080754842462982804,450.945197,19.7711513164355218491278,0,0,0,0,0,48.81255165,54.63920580925049,0.000012085161924241472,0.0438438006391174,-94.34199459001836,50.70025775850574,30293688897.014596,2491,5872,620612688.162589,27210018.97390728726368465895,344898.57975485,15121.66457148637598661236939,180048.644314,7894.0168666463746274884636,2025244460.320465,88794414.36376737721141875759,0.06045315873432732,0.07018405573324842,0.07360297743760691
2019-01-11,3821,4320,3774037,873.61967593,1316786274.030664494804933325,0.17967758459808633,0.007809903260843680959822758121,0.171246,0.0074434142511323653902,319.646423,13.8938179010411005016551,0,0,0,0,0,85.23986904,54.060971844868654,0.000011993452533153352,0.0434662079764337,-93.5859194509865,44.277613720301346,30294482434.368173,1779,4054,355402733.215167,15448009.11732343014496740993,261517.66534384,11367.18123134673720192746341,208327.526125,9055.2075777651750210804125,1060192615.303938,46082552.71188013509706680591,0.0603539294183575,0.07018015330522423,0.07359925104488177
2019-01-12,3145,4320,3564720,825.16666667,1310545260.061805998966656857,0.1898131775147912,0.008211355408875690752310577426,0.171246,0.007408135656117717762,256.627416,11.101752512800033291752,0,0,0,0,0,95.93765688,53.788409374795805,0.0000119601693972459,0.043260196770247,-95.23592429258687,50.562580259102354,30294482177.740757,1352,3023,315772587.777007,13660384.28188341553084831073,209339.88699243,9056.08470315379225253823021,200194.534874,8660.454970977315207093878,632834478.378107,27376544.05763352939627378243,0.05982413679735136,0.06935825644925311,0.073494661207842
2019-01-13,3405,4320,3489866,807.83935185,1204482057.250535173545732276,0.3876730190476149,0.01541353969808172570679645714,0.171246,0.0068085909760294998036,529.173671,21.0394816878817806860586,0,0,0,0,0,132.26193926,49.89885524187827,0.000011331679221902101,0.0397591241607366,-95.44982812251202,41.74148153393612,30294481648.567086,1365,3111,229049126.436767,9106792.656907675128524042572,179356.58210398,7131.060616917488908534591668,290641.566143,11555.6541145504758925009338,557978326.92547,22184729.5792298396319685012,0.05969123915519292,0.07133634255298867,0.07200203265656804
2019-01-14,2903,4320,3491115,808.12847222,1326259724.193239184591205808,0.18152768237853356,0.007947086163976236331379987976,0.171246,0.0074969651978392014132,250.326674,10.9590318201233271234508,0,0,0,0,0,52.18099569,54.74819731863536,0.000011938798980005283,0.0437789215388342,-94.52303075591877,56.77091496526846,30294481398.240412,1379,3050,580565414.606953,25416527.73423854216511883419,290299.61425821,12709.00403536400960054117878,276216.486702,12092.4598990592981808828084,885413823.48754,38762462.30786020739218982587,0.060030908539266695,0.07290790448427015,0.07323840043915354
