date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-06-07,994,19224,777911313.4030886875499417939,0.012508204661067186,0.00009730376192646425161219524214,0.011,0.00008557114391665114,1413.689799,10.99736847670278389633826,3394.09152495,579.437953517157,0.000034819999999999934,0.00777919490151374,,4.600183836179141,99998948895.30487,113021,6485,29462655.370414004,229195.7384425810307457900944,7848.87380796,61.0579191095071656420613704,1100,8.557114391665114,50899946.644614,395960.6054251026265024179964,0.06685149316740746,0.07634978858592051,0.056209141149138324
2015-06-08,1279,18961,795621205.2035407819200348689,0.012425170342492128,0.00009885833062078451439791077879,0.011,0.00008751925380932206,1505.89337,11.9813330962550303953402,1720.58574982,596.4325420386975,0.000034777927860225016,0.00795629580084746,,6.089406117689959,99998947389.411499,121197,7979,58119130.301749006,462412.9923687119872574950126,7640.82060556,60.7926288990457744783878776,400,3.182518320338984,60966107.611749,485064.3859853729369108528075,0.06687221441529771,0.07643725800028446,0.05593524170622671
2015-06-09,1470,19170,801412181.5868000311828311672,0.012166268934586638,0.00009750298915827523969997494575,0.011,0.00008815626931375803,1584.668695,12.69986184086377117689735,4677.09275729,605.1360531546184,0.00003493999999999993,0.00801420630125073,,9.560664945156239,99998945804.742804,130251,8178,21380577.849092003,171348.3617225749098554137409,2623.24723026,21.0232444824882166463030898,700,5.609944410875511,21452915.849092,171928.0933779947611195348372,0.06680801563432325,0.07627218432771915,0.05593334196457044
2015-06-10,1447,19672,792817234.2764279007466891344,0.012081569439296756,0.00009578577642454599286090632894,0.011,0.00008721081693599374,2056.271037,16.30264336169027367048258,2088.85192974,604.2303566953337,0.000034683531852717716,0.00792825608509034,,7.772190750388046,99998943748.471767,170199,8346,47872681.79465,379546.880748027401018578681,5745.58097228,45.5524373058581821088357752,1000,7.92825608509034,47952618.79465,380180.641754701267527158681,0.06678891538561697,0.07631177945460325,0.0554831280414665
2015-06-11,1430,19386,798486129.016491049626065473,0.012110058138681089,0.00009669815836362670543684202491,0.011,0.00008783440424636471,2621.197864,20.93012298148033705608904,3640.01776112,616.4599195756664,0.000034780000000000016,0.00798494584057861,,12.830804937609388,99998941127.273903,216448,7207,27472102.525282,219363.250791199633969033418,3836.50902252,30.6343167617133828023202972,400,3.193978336231444,27649720.525282,220781.520901511525520013418,0.06678642654608108,0.07591549785485315,0.05549116498892216
2015-06-12,1350,19598,793933243.1346727053179657141,0.012019230827323535,0.00009542568200390296341171920078,0.011,0.000087333583747861,2578.100974,20.468617938479183137874,2865.27208957,628.064938757638,0.00003454755932203392,0.007939416704351,,18.5657764121182,99998938549.172929,214498,6589,34900328.982053004,277088.2549074569516436794204,6196.26312617,49.19471496846824590096567,1000,7.939416704351,40827177.738353,324143.976927387089034673903,0.06678497276565364,0.07511502849831427,0.05548329666114798
2015-06-13,800,18813,813843457.7822127944040114969,0.012010716563136622,0.00009774946996575067300636270391,0.010001,0.00008139334934669146089,1454.06539,11.8339418319371227165971,5925.35878807,650.3812267533779,0.00003492697486849802,0.00813852108256089,,22.46651144230129,99998937095.10752,121064,5858,16876435.785873,137349.228441812472342524307,2895.16998735,23.5624019796455202069047415,1000,8.13852108256089,16959905.785873,138028.550796573829830824307,0.06526400710618002,0.07515020415453165,0.0553096779215179
2015-06-14,1008,19372,813301203.6713195751949671156,0.011862125217849967,0.00009647583474510697025290168109,0.011,0.00008946408528880185,2198.443253,17.88015588081663487149255,9097.47071392,669.9147349176156,0.00003497999999999994,0.00813309866261835,,23.710731749485586,99998934896.664264,185333,6677,10991949.085763,89398.60640898805026628755105,1677.82860353,13.6459455714726567938527755,500,4.066549331309175,11202861.585763,91113.97858066754301066255105,0.06484564743226827,0.07509153163503027,0.05522428232965223
2015-06-15,2135,20000,879600109.7859448045588635607,0.012073564144677728,0.0001062002180810932995322957255,0.011,0.00009675704579802921,3264.933216,28.71866297345625409702176,1785.14066149,742.5795020756105,0.000037147089421391057,0.00879609507254811,,34.94599098520449,99998931631.731048,270420,7408,56017396.15770201,492734.3423197380800134927687,8243.42145757,72.5099188638688358301486927,400,3.518438029019244,61067266.157702,537153.4789437465162982420432,0.06333037080385723,0.07613652105842457,0.05612939870932803
2015-06-16,1569,19515,931506767.8630662390647674322,0.012071405466235873,0.0001124471668216681629663001744,0.011,0.00010246684518203397,5849.537518,54.48942320394593155140786,1732.8743451,808.8509011786018,0.00003704835768556392,0.00931516774382127,,48.737979240952676,99998925782.19352,484578,9095,57706968.808623,537550.0944397851121213468112,7170.24962162,66.7920779904612903104078574,300,2.794550323146381,65213420.308623,607473.9493231439000447518112,0.06348240164961912,0.07600720317291962,0.05656395880274322
2015-06-17,1528,19632,976070863.4198733507404304019,0.01202668431713833,0.0001173902278367072429525704881,0.011,0.00010736895325036969,4561.625148,44.52517429648388347281492,1277.16978333,867.1063766869468,0.00003936299064874338,0.00976081393185179,,81.18010760117323,99998921220.56837,379292,5484,78297280.851781,764245.189764176371817849538,16123.85527932,157.3819512455486908952919828,300,2.928244179555537,88423222.351781,863082.620630492584028134538,0.06024874556366555,0.06961156525279061,0.05684581456700287
