date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-06-04,48,22429,154949749.966369214962930435,0.0000101923076923077,1.549174054525940015341811834E-8,0.00001,1.51994435538394E-8,0.00053,8.055705083534882E-7,,,,,,14247.87216591,9439.641941093218,0.000002646759205143186,0.00151994435538394,,-18.437336614278166,101944356987.4824125,52,19,7155058.369443,10875.29058107750545462894542,426775.703654895,648.6753217852667870289853863,121972.304799,185.39111619240950634952806,8108738.369443,12324.83111392006135382894542,0.05308756987925051,0.023322397726354447,0.025191584745547824
2016-06-05,50,22254,152185430.9429935149588933887,0.00001,1.49282839619736E-8,0.00001,1.49282839619736E-8,0.00053,7.911990499846008E-7,,,,,,53071.65537561,9811.702032500196,0.000002595601987142017,0.00149282839619736,,-18.37443332039233,101944356987.4817525,53,23,1920881.4246696,2867.546336474818955934392256,83516.583681287,124.6759276728182803809908023,4790.140801,7.15085820951636738448536,1920881.4246696,2867.546336474818955934392256,0.050571910871856876,0.02330916479954483,0.025240972134707072
2016-06-06,33,22405,152478329.6239975355795866588,0.00001,1.49570151923879E-8,0.00001,1.49570151923879E-8,0.0003,4.48710455771637E-7,,,,,,661714.49010286,10090.652960460042,0.000002553014026884854,0.00149570151923879,,-17.251126826206118,101944356987.4814325,30,6,154060.940953,230.42918343875961969716687,25676.8234921667,38.40486390645998647291178629,14029.0905625,20.983332067869820972919375,154060.940953,230.42918343875961969716687,0.05054701685993805,0.023342071973888136,0.025224546292419863
2016-06-07,56,22407,152142267.9895961654797904085,0.00001,1.49240499901608E-8,0.00001,1.49240499901608E-8,0.00065,9.70063249360452E-7,,,,,,6296.35343513,9974.953577919143,0.0000025799210987726526,0.00149240499901608,,-18.035475960094068,101944356987.4807825,65,19,16191015.647028,24163.55269077215822457621024,852158.718264632,1271.765931093272113885063283,157354.526532,234.83668201416519425463456,16191015.647028,24163.55269077215822457621024,0.05050561629148226,0.0232147306886694,0.02516299507965461
2016-06-08,43,22872,149797641.1615516143790077541,0.00001,1.46940591503214E-8,0.00001,1.46940591503214E-8,0.00045,6.61232661764463E-7,,,,,,33712.51768494,10075.091678689329,0.0000025199999999999924,0.00146940591503214,,-18.49620444587925,101944356987.4802925,45,7,3023931.880146,4443.38339134079263421789244,431990.268592286,634.769055905827939004246072,3736.99999,5.4911698897810480296786,3023931.880146,4443.38339134079263421789244,0.05028797456201303,0.023264821384695822,0.023646325429283896
2016-06-09,61,22528,157082138.7205506618327004395,0.00001,1.54086153821975E-8,0.00001,1.54086153821975E-8,0.00098,0.000001510044307455355,,,,,,40466.88858438,10871.065928158281,0.000002669999999999993,0.00154086153821975,,-12.71213370734735,101944356987.4792925,98,62,2519204.232243,3881.74490838365329976939925,40632.6489071452,62.6092858970067966586627577,0.01,0.0000154086153821975,2519224.232243,3881.77572561441769476939925,0.05023869057051996,0.025109981026713517,0.022637913868065615
2016-06-10,51,22032,160703673.628581860408137672,0.00001,1.57638616179923E-8,0.00001,1.57638616179923E-8,0.00069,0.0000010877064516414687,,,,,,898646.23556479,11214.40546104932,0.0000027187744009351274,0.00157638616179923,,-11.852551789403385,101944356987.4785725,69,28,113442.1454772,178.828628295073186958942556,4051.50519561429,6.386736724824049147331498997,1,0.00157638616179923,113442.1454772,178.828628295073186958942556,0.05026461410565792,0.02540780451974622,0.02265667583856685
2016-06-11,15,22644,162516951.5737891321224890275,0.00001,1.59417309968173E-8,0.00001,1.59417309968173E-8,0.00025,3.985432749204325E-7,,,,,,83967.37107563,11578.450839591875,0.0000026330403272939872,0.00159417309968173,,-10.966736193180006,101944356987.4783125,25,22,1214094.899978,1935.47743000570820798400194,55206.6772717273,88.00899982939842302035735223,87,0.13869305967231051,1214546.899978,1936.19799624676434994400194,0.050271728739258184,0.025546648716440534,0.02268507733022877
2016-06-12,59,22387,162655672.485335432393185859,0.0000101190476190476,1.614528301541497556125998219E-8,0.00001,1.59553385093513E-8,0.00085,0.0000013562037732948605,,,,,,29744.88894936,11691.881244357886,0.0000023800000000000056,0.00159553385093513,,-9.83344173172489,101944356987.4773925,84,30,3427289.883685,5468.35702638694182618035405,114242.996122833,182.2785675462308623613948233,23267.906635,37.12473267654061228158755,3427289.883685,5468.35702638694182618035405,0.04982227206094666,0.02551573016642364,0.02260551918687053
2016-06-13,50,22609,157638403.1347675560582804813,0.00001,1.54631808756352E-8,0.00001,1.54631808756352E-8,0.0007,0.000001082422661294464,,,,,,86946.39428012,11444.428201188828,0.000002195471069549971,0.00154631808756352,,-13.815365801281143,101944356987.4765825,70,32,1172496.6610926,1813.052794655321880315101952,36640.5206591438,56.65789983297888607575131418,213.5,0.33013891169481152,1172496.6610926,1813.052794655321880315101952,0.04986817847691526,0.025791675031443785,0.022781346141998095
